what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1313721904520
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1313721904521
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1313721904521
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1313721904523
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1313721904523
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1313721904524
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1313721904524
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1313721904525
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1313721904525
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1313721904526
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1313721904527
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1313721904527
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1313721904530
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1313721904530
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1313721904531
started,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1313721904531
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1313721904531
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1313721904532
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1313721904532
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1313721904533
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1313721904533
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1313721904533
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1313721904534
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1313721904534
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1313721904535
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1313721904535
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1313721904536
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1313721904537
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1313721904537
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1313721904538
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1313721904538
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1313721904539
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1313721904540
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1313721904540
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1313721904541
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1313721904541
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1313721904542
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1313721904542
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1313721904542
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1313721904543
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1313721904543
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1313721904544
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1313721904545
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1313721904545
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313721904546
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1313721904546
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313721904547
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1313721904547
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1313721904548
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1313721904548
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1313721904550
os,sysinfo,,,"win32",1313721904553
arch,sysinfo,,,"x86",1313721904553
ws,sysinfo,,,"win32",1313721904553
locale,sysinfo,,,"en_US",1313721904553
processors,sysinfo,,,"2",1313721904553
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313721904553
java.runtime.version,sysinfo,,,"1.7.0-b147",1313721904553
java.specification.name,sysinfo,,,"Java Platform API Specification",1313721904553
java.specification.vendor,sysinfo,,,"Oracle Corporation",1313721904553
java.specification.version,sysinfo,,,"1.7",1313721904553
java.vendor,sysinfo,,,"Oracle Corporation",1313721904553
java.version,sysinfo,,,"1.7.0",1313721904553
java.vm.info,sysinfo,,,"mixed mode",1313721904553
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313721904553
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313721904553
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1313721904553
java.vm.specification.version,sysinfo,,,"1.7",1313721904553
java.vm.vendor,sysinfo,,,"Oracle Corporation",1313721904553
java.vm.version,sysinfo,,,"21.0-b17",1313721904553
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1313721904556
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313721912722
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313721912743
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1313721912772
activated,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1313721914801
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313721914813
closed,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1313721914828
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1313721916157
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavadocView",1313721923160
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavadocView",1313721923177
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1313721923827
closed,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavadocView",1313721923834
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1313721924687
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1313721924706
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1313721925285
closed,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1313721925291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313721944945
started,bundle,org.eclipse.wb.core.lib,1.0.0.r37x201106081531,"org.eclipse.wb.core.lib",1313721946219
started,bundle,org.eclipse.wb.core,1.0.0.r37x201106081531,"org.eclipse.wb.core",1313721946226
started,bundle,org.eclipse.wb.core.ui,1.0.0.r37x201106081733,"org.eclipse.wb.core.ui",1313721946226
started,bundle,org.eclipse.wb.rcp,1.0.0.r37x201106091049,"org.eclipse.wb.rcp",1313721951827
started,bundle,org.eclipse.wb.swt,1.0.0.r37x201106081643,"org.eclipse.wb.swt",1313721951849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722041334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1313722041353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722046318
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1313722054344
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1313722054404
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1313722054405
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1313722054433
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1313722054479
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1313722087264
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1313722125121
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1313722125160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722151645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1313722151793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722152890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722347796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1313722347964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722352481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722357091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722363625
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1313722366138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722381401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1313722381419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722382524
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1313722393876
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1313722393980
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1313722394025
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1313722395278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722395293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1313722395299
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1313722396305
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1313722396312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722398769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722405287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1313722405294
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313722406360
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1313722407904
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1313722407907
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1313722410819
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1313722412923
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313722421059
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1313722421238
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1313722421242
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1313722421304
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1313722421309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722423046
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1313722427464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722431578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1313722431589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722434193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722441083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1313722441110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722448566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722454846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1313722454858
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1313722455786
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313722460843
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1313722464028
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1313722468936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1313722471738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722473223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722475781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722475803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722476877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1313722476880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722480370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722481467
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1313722482048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722482479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722486265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722490502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722491152
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1313722491160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1313722491160
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313722492926
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1313722493476
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1313722493597
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1313722493599
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1313722493599
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1313722493600
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1313722493601
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1313722493601
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1313722493601
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1313722493601
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1313722493602
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1313722493603
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1313722493668
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1313722493669
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.0.0.r37x201106081558,"org.eclipse.wb.rcp.SWT_AWT",1313722493669
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.0.0.r37x201106091049,"org.eclipse.wb.rcp.databinding.emf",1313722493670
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.0.0.r37x201106081641,"org.eclipse.wb.rcp.databinding.xwt",1313722493670
stopped,bundle,org.eclipse.wb.rcp.databinding,1.0.0.r37x201106091049,"org.eclipse.wb.rcp.databinding",1313722493671
stopped,bundle,org.eclipse.wb.rcp.nebula,1.0.0.r37x201106091049,"org.eclipse.wb.rcp.nebula",1313722493682
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.0.0.r37x201106091049,"org.eclipse.wb.rcp.swing2swt",1313722493683
stopped,bundle,org.eclipse.wb.xwt,1.0.0.r37x201106081641,"org.eclipse.wb.xwt",1313722493683
stopped,bundle,org.eclipse.wb.rcp,1.0.0.r37x201106091049,"org.eclipse.wb.rcp",1313722493683
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1313722493683
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1313722493683
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1313722493685
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1313722493686
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1313722493686
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1313722493687
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1313722493687
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1313722493687
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1313722493687
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1313722493687
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1313722493688
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1313722493688
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1313722493689
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1313722493690
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1313722493690
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1313722493691
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1313722493691
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1313722493692
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1313722493692
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1313722493693
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1313722493694
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1313722493694
stopped,bundle,org.eclipse.wb.swing.databinding,1.0.0.r37x201106081552,"org.eclipse.wb.swing.databinding",1313722493695
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.0.0.r37x201106081533,"org.eclipse.wb.core.databinding.xml",1313722493776
stopped,bundle,org.eclipse.wb.core.databinding,1.0.0.r37x201106081531,"org.eclipse.wb.core.databinding",1313722493777
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.0.0.r37x201106081552,"org.eclipse.wb.swing.FormLayout",1313722493778
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.0.0.r37x201106081552,"org.eclipse.wb.swing.MigLayout",1313722493778
stopped,bundle,org.eclipse.wb.swing.java6,1.0.0.r37x201106081552,"org.eclipse.wb.swing.java6",1313722493779
stopped,bundle,org.eclipse.wb.swing.jsr296,1.0.0.r37x201106081552,"org.eclipse.wb.swing.jsr296",1313722493779
stopped,bundle,org.eclipse.wb.swing,1.0.0.r37x201106081552,"org.eclipse.wb.swing",1313722493779
stopped,bundle,org.eclipse.wb.core.ui,1.0.0.r37x201106081733,"org.eclipse.wb.core.ui",1313722493779
stopped,bundle,org.eclipse.wb.layout.group,1.0.0.r37x201106081642,"org.eclipse.wb.layout.group",1313722493779
stopped,bundle,org.eclipse.wb.os.win32,1.0.0.r37x201106081531,"org.eclipse.wb.os.win32",1313722493780
stopped,bundle,org.eclipse.wb.core.xml,1.0.0.r37x201106081533,"org.eclipse.wb.core.xml",1313722493780
stopped,bundle,org.eclipse.wb.swt,1.0.0.r37x201106081643,"org.eclipse.wb.swt",1313722493780
stopped,bundle,org.eclipse.wb.core,1.0.0.r37x201106081531,"org.eclipse.wb.core",1313722493780
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1313722493780
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1313722493780
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1313722493783
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1313722493783
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1313722493783
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1313722493784
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1313722493784
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1313722493785
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1313722493785
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1313722493786
